Name,Publishers,Developers,Description,Price,Release Date,Tags
Plague Inc: Evolved,Ndemic Creations,Ndemic Creations,"Plague Inc: Evolved is a unique mix of high strategy and terrifyingly realistic simulation. Your pathogen has just infected 'Patient Zero' - now you must bring about the end of human history by evolving a deadly, global Plague whilst adapting against everything humanity can do to defend itself.",$14.99,"Feb 18, 2016","Strategy,Simulation,Outbreak Sim,Indie,Singleplayer,Multiplayer,Zombies,Casual,Tactical,Replay Value,Post-apocalyptic,Addictive,Realistic,2D,Difficult,Atmospheric,Co-op,Sandbox,Early Access,Survival"
Surviving Mars,Paradox Interactive,Haemimont Games;Abstraction,There will be challenges to overcome. Execute your strategy and improve your colony’s chances of survival while unlocking the mysteries of this alien world. Are you ready? Mars is waiting for you.,$29.99,"Mar 15, 2018","Colony Sim,City Builder,Strategy,Space,Survival,Base Building,Mars,Simulation,Sci-fi,Resource Management,Singleplayer,Building,Management,Sandbox,Space Sim,Futuristic,Open World,RTS,Great Soundtrack,Moddable"
Gang Beasts,Boneloaf,Boneloaf;Rocket Science,"Gang Beasts is a silly multiplayer party game with surly gelatinous characters, brutal slapstick fight sequences, and absurd hazardous environments, set in the mean streets of Beef City.",$19.99,"Dec 12, 2017","Funny,Physics,Multiplayer,Colorful,Party Game,Local Multiplayer,Party,Fighting,Comedy,3D Fighter,Casual,Soundtrack,4 Player Local,Co-op,Family Friendly,Beat 'em up,Memes,Third Person,Singleplayer,Indie"
Celeste,Maddy Makes Games Inc.,"Maddy Makes Games Inc.;Extremely OK Games, Ltd.","Help Madeline survive her inner demons on her journey to the top of Celeste Mountain, in this super-tight platformer from the creators of TowerFall. Brave hundreds of hand-crafted challenges, uncover devious secrets, and piece together the mystery of the mountain.",$19.99,"Jan 25, 2018","Precision Platformer,Difficult,Pixel Graphics,Great Soundtrack,Indie,Platformer,2D Platformer,Female Protagonist,Singleplayer,2D,Story Rich,Adventure,Cute,Puzzle Platformer,Atmospheric,LGBTQ+,Action,Side Scroller,Retro,Exploration"
The Wandering Village,Stray Fawn Publishing;WhisperGames,Stray Fawn Studio,"The Wandering Village is a city-building strategy game on the back of a giant, wandering creature. Build your settlement and form a symbiotic relationship with the colossus. Will you survive together in this hostile, yet beautiful post-apocalyptic world, contaminated by poisonous plants?",$24.99,"Sep 14, 2022","Early Access,Building,Sandbox,City Builder,Automation,RTS,Colony Sim,Survival,Management,Simulation,Strategy,Post-apocalyptic,Roguelike,Resource Management,Controller,Life Sim,Singleplayer,Exploration,Relaxing,Base Building"
Human Fall Flat,Curve Games,No Brakes Games,"Human Fall Flat is a hilarious, light-hearted platformer set in floating dreamscapes that can be played solo or with up to 8 players online. Free new levels keep its vibrant community rewarded.",$19.99,"Jul 22, 2016","Co-op,Funny,Puzzle,Adventure,Physics,Sandbox,Multiplayer,Puzzle Platformer,Action,Open World,Local Co-Op,Indie,Local Multiplayer,Comedy,Parkour,Casual,Split Screen,3D Platformer,Singleplayer,Simulation"
Five Nights at Freddy's: Security Breach,ScottGames,Steel Wool Studios,"In Five Nights at Freddy’s: Security Breach, play as Gregory, a young boy who’s been trapped overnight inside of Freddy Fazbear’s Mega Pizzaplex. With the help of Freddy himself, Gregory must uncover the secrets of the Pizzaplex, learn the truth, and survive until dawn.",$39.99,"Dec 16, 2021","Horror,Singleplayer,Survival Horror,Robots,Multiple Endings,First-Person,Stealth,Exploration,3D,Action,Adventure,Indie,Story Rich,Artificial Intelligence,Thriller,Colorful,Action-Adventure,Family Friendly,Cartoony,Atmospheric"
Wobbly Life,RubberBandGames,RubberBandGames,"Wobbly Life is a vibrant open-world physics sandbox. Play with your friends online or in local co-op, with exciting jobs, mini games and wacky story missions. Earn cash to spend in the world on clothes, vehicles and houses. There is a whole Wobbly World out there to explore!",$17.99,"Jul 8, 2020","Adventure,Multiplayer,Simulation,Open World,Action,Sandbox,Casual,Indie,Funny,Co-op,Family Friendly,Physics,Early Access,Online Co-Op,Split Screen,Local Multiplayer,Party,Cute,Life Sim,4 Player Local"
Who's Your Daddy?!,Evil Tortilla Games,Evil Tortilla Games,"Who's Your Daddy is a casual multiplayer game featuring a clueless father attempting to prevent his infant son from certain death. Play with up to 7 of your friends, and test your parenting skills in a competitive setup with wacky physics and over 69 potentially ominous household items.",$6.99,"Dec 23, 2015","Funny,Multiplayer,First-Person,Comedy,Simulation,Online Co-Op,Strategy,Dark Humor,Co-op,Casual,Indie,Split Screen,Action,Early Access,Difficult,Sandbox,Third Person,Survival,Adventure,Singleplayer"
STAR WARS Jedi: Fallen Order™,Electronic Arts,Respawn Entertainment,"A galaxy-spanning adventure awaits in Star Wars Jedi: Fallen Order, a 3rd person action-adventure title from Respawn. An abandoned Padawan must complete his training, develop new powerful Force abilities, and master the art of the lightsaber - all while staying one step ahead of the Empire.",$39.99,"Nov 15, 2019","Action-Adventure,Souls-like,Third Person,Open World,Story Rich,Swordplay,Exploration,Sci-fi,Action,Platformer,Space,RPG,Fighting,Puzzle,Adventure,Metroidvania,Fantasy,Atmospheric,Hack and Slash,Family Friendly"
Rooftops & Alleys: The Parkour Game,MLMEDIA,MLMEDIA,"Ever felt like the world was missing that one Parkour/Freerunning game? That game that scratches that itch that other games just don't? Rooftops & Alleys aka TheParkourGame is here to deliver! In this game, there's is no 'hold button to parkour' mentality. Here, you, the player is in control!",$19.99,"May 21, 2024","Simulation,Sports,Parkour,3D Platformer,eSports,Exploration,First-Person,Third Person,Immersive Sim,3D,Open World,Character Customization,Physics,Singleplayer,Controller,Multiplayer,Early Access,Indie,Action,Gaming"
Slime Rancher,Monomi Park,Monomi Park,"Slime Rancher is the tale of Beatrix LeBeau, a plucky, young rancher who sets out for a life a thousand light years away from Earth on the ‘Far, Far Range’ where she tries her hand at making a living wrangling slimes.",$19.99,"Aug 1, 2017","Cute,Exploration,Adventure,Singleplayer,Open World,First-Person,Colorful,Funny,Sandbox,Simulation,Casual,Management,Fantasy,Family Friendly,Indie,Great Soundtrack,Female Protagonist,Action,Early Access,FPS"
PlanetSide 2,Daybreak Game Company,Rogue Planet Games,"PlanetSide 2 is an all-out planetary war, where thousands of players battle as one across enormous continents. Utilize infantry, ground and air vehicles, and teamwork to destroy your enemies in this revolutionary first-person shooter on a massive scale.",$0.00,"Nov 20, 2012","$0.00,FPS,Massively Multiplayer,Shooter,Action,Open World,Multiplayer,Team-Based,Sci-fi,War,Tactical,First-Person,PvP,Futuristic,Online Co-Op,Co-op,Strategy,Space,Adventure,RPG"
The Executive - Movie Industry Tycoon,Goblinz Publishing;Maple Whispering Limited,Aniki Games,"Shape the history of the Hollywood movie industry in this sandbox business simulation game. Create the movies you've always wanted to see, hire the best team, research cutting-edge technologies, and dominate the Box Office. Can you rise from a small studio to a Hollywood giant?",$14.99,"Feb 11, 2025","Management,Simulation,Movie,Economy,Strategy,Capitalism,2D,Sandbox,Singleplayer,Isometric,Replay Value,Indie,Building,Moddable,Cinematic,Casual,Funny,Comedy,Trading,Point & Click"
War of Rights,Campfire Games,Campfire Games,"War of Rights is a first person multiplayer game featuring massive 350 player battles with a focus on historical authenticity, teamplay and immersion. It is set during the perilous days of the American Civil War, in the Maryland Campaign of September, 1862.",$29.99,"Dec 3, 2018","Historical,War,Multiplayer,Realistic,Action,Simulation,Military,FPS,Strategy,First-Person,Shooter,Early Access,Massively Multiplayer,Indie,Violent,America,Singleplayer,Gore,Tactical,Mature"
EARTH DEFENSE FORCE 6,D3PUBLISHER,SANDLOT,"Live the future of despair.The year is 2024 AD. The survivors fought against the remaining threats while trying their best to continue their recovery.Three years passed in the year 2027. In a new world without hope, the time has come to once again resist the fate of the Earth.",$59.99,"Jul 25, 2024","Action,Third-Person Shooter,Shooter,Online Co-Op,3D,Sci-fi,PvE,Singleplayer,Multiplayer,Co-op,Local Co-Op,Gore,Violent,Local Multiplayer,Mechs,Anime"
Stranded Deep,Beam Team Publishing,Beam Team Games,Take the role of a plane crash survivor stranded somewhere in the Pacific Ocean. Come face to face with some of the most life threatening scenarios that will result in a different experience each time you play. Scavenge. Discover. Survive.,$19.99,"Aug 11, 2022","Open World Survival Craft,Survival,Multiplayer,Open World,Crafting,First-Person,Adventure,Exploration,Singleplayer,Realistic,Building,Co-op,Sandbox,Simulation,Early Access,Underwater,Action,Atmospheric,Indie,Strategy"
PICO PARK,TECOPARK,TECOPARK,PICO PARK is a cooperative local/online multiplay action puzzle game for 2-8 players.,$4.99,"May 7, 2021","Multiplayer,Online Co-Op,Puzzle Platformer,Co-op,Local Co-Op,Casual,Cute,Local Multiplayer,Platformer,2D,Action,Pixel Graphics,Funny,Puzzle,Party Game,Indie,Horror,Retro,Difficult,Souls-like"
Taiko no Tatsujin: Rhythm Festival,Bandai Namco Entertainment Inc.,Bandai Namco Amusement Lab Inc.,"Taiko no Tatsujin: Rhythm Festival is a drum-based rhythm game featuring songs from genres such as Anime and VOCALOID™, and also a variety of game modes! Have fun playing solo or online!",$49.99,"Nov 6, 2024","Casual,Rhythm,Singleplayer,Multiplayer,PvP,Music,Cute,Anime,Difficult,Souls-like"
Unrailed 2: Back on Track,Indoor Astronaut;Kepler Ghost,Indoor Astronaut,"The chaotic co-op railroad construction game is back! Team up with your friends to build a railroad through procedurally generated worlds with new biomes and bosses. Permanently upgrade your character and engine, even create your own levels - just don‘t let your train derail!",$19.99,"Nov 7, 2024","Early Access,Trains,Online Co-Op,Multiplayer,Top-Down,Roguelike,Local Multiplayer,Action Roguelike,Action,Procedural Generation,Co-op,Survival,Casual,Soundtrack,Colorful,Level Editor,Family Friendly,Controller,Strategy,Cute"
Viewfinder,Thunderful Publishing,Sad Owl Studios,"Challenge perception, redefine reality, and reshape the world around you with an instant camera. Viewfinder is a new single player game offering gamers hours of interesting and fun experiences while uncovering the mysteries left behind.",$24.99,"Jul 18, 2023","Puzzle Platformer,Puzzle,First-Person,Singleplayer,Abstract,Psychological,Surreal,Adventure,Physics,Action-Adventure,Dark Humor,Atmospheric,Narration,Exploration,3D Platformer,Colorful,Story Rich,Platformer,Stylized,Retro"
Due Process,Giant Enemy Crab,Giant Enemy Crab,A PVP tactical FPS about PLANNING & EXECUTION. Sound strategy and good teamwork are essential for victory because new PROCEDURALLY-GENERATED MAPS are delivered every week. You'll face a new tactical challenge every round.,$9.99,"Nov 3, 2020","Early Access,Adventure,3D,Futuristic,Tactical,Cyberpunk,FPS,Team-Based,Simulation,PvP,eSports,Multiplayer,Online Co-Op,Character Customization,Procedural Generation,Competitive,Pixel Graphics,Crime,Shooter,Strategy"
TUNIC,Finji,TUNIC Team,"Explore a land filled with lost legends, ancient powers, and ferocious monsters in TUNIC, an isometric action game about a small fox on a big adventure.",$29.99,"Mar 16, 2022","Exploration,Puzzle,Souls-like,Cute,Metroidvania,Action-Adventure,Isometric,Difficult,RPG,3D,Action RPG,Top-Down,Atmospheric,Colorful,Nonlinear,Action,Fantasy,Stylized,Controller,Indie"
Starcom: Unknown Space,"Wx3 Labs, LLC","Wx3 Labs, LLC","Starcom: Unknown Space is an action RPG of space exploration and adventure. Build your own starship while discovering an epic story in a universe of strange mysteries, alien factions and uncharted worlds.",$24.99,"Sep 2, 2024","Space,Exploration,Open World,Space Sim,Action RPG,Story Rich,Indie,Sci-fi,RPG,Top-Down Shooter,Action,Combat,Building,Action-Adventure,Aliens,Lore-Rich,Singleplayer,Adventure,Atmospheric,2D"
Another Crab's Treasure,Aggro Crab,Aggro Crab,"In a vibrant undersea kingdom on the verge of collapse, a hermit crab embarks on a treasure hunt to buy back his repossessed shell. The second game from AGGRO CRAB.",$29.99,"Apr 25, 2024","Souls-like,3D Platformer,Funny,Action RPG,Cartoony,Nonlinear,Atmospheric,Third Person,Action-Adventure,Dark Humor,RPG,Dark Fantasy,Cute,3D,Open World,Lore-Rich,Underwater,Story Rich,Action,Beat 'em up"
Eternal Strands,Yellow Brick Games,Yellow Brick Games,"Fight epic, towering creatures while blending magical abilities with an arsenal of powerful weapons to keep the world from crumbling in this third-person, action-adventure game.",$39.99,"Jan 28, 2025","Action-Adventure,Female Protagonist,Fantasy,Action,Combat,Adventure,Magic,Physics,LGBTQ+,Singleplayer,Third Person,Story Rich,Colorful,3D,RPG,Politics"
UNDER NIGHT IN-BIRTH II Sys:Celes,Arc System Works,FRENCH-BREAD;Arc System Works,"The newest riveting installment in the epic Under Night In-Birth saga rises from the Abyss! Improved visuals and battle system! Witness the curtain fall on the tale of the Hollow Night. Vie for supremacy through exhilarating combat and a deep, robust battle system!",$49.99,"Jan 24, 2024","Action,2D Fighter,Arcade,Anime,2D,Spectacle fighter,Pixel Graphics,PvP,Multiplayer,Fighting,Comic Book,Local Multiplayer,Drama,Singleplayer,Great Soundtrack"
"Little Kitty, Big City",Double Dagger Studio,Double Dagger Studio,"You're a curious little kitty with a big personality, on an adventure to find your way back home. Explore the city, make new friends with stray animals, wear delightful hats, and leave more than a little chaos in your wake. After all, isn't that what cats do best?",$24.99,"May 9, 2024","Cats,Cute,Wholesome,Exploration,Sandbox,Cozy,Family Friendly,Comedy,Simulation,Funny,Indie,3D,Cartoony,Singleplayer,Open World,Stylized,Colorful,Adventure,Nonlinear,3D Platformer"
KAISERPUNK,Overseer Games;Elda Entertainment,Overseer Games,"Build a city to rule the world in Kaiserpunk, a grand city builder blending production-focused city building with the world conquest of strategy games in an alternate 20th century world. Manage your city, grow industries, build a military, and defeat rivals to become the greatest empire.",$29.99,"Mar 21, 2025","City Builder,Strategy,Resource Management,Alternate History,Grand Strategy,Management,Military,Economy,Building,Simulation,Base Building,World War I,World War II,Singleplayer,Choices Matter,Open World,Trading,Colony Sim,Political,Diplomacy"
Bleak Faith: Forsaken,Archangel Studios,Archangel Studios,"Explore the last remnants of civilization in this vast, unforgiving, and interconnected world. Learn what is left of its history. Discover pockets of natural life in the perpetually expanding Omnistructure. Lose yourself in a journey unlike any other. Find your purpose in the world.",$29.99,"Mar 10, 2023","Action,Souls-like,Adventure,RPG,Action RPG,Action-Adventure,Open World,Exploration,Survival Horror,Survival,3D,Dark,Third Person,Horror,Stealth,PvP,Choices Matter,Crafting,Singleplayer,Indie"
Ori and the Will of the Wisps,Xbox Game Studios,Moon Studios GmbH,"Play the critically acclaimed masterpiece. Embark on a new journey in a vast, exotic world where you’ll encounter towering enemies and challenging puzzles on your quest to unravel Ori’s destiny.",$29.99,"Mar 11, 2020","Beautiful,Metroidvania,Platformer,Great Soundtrack,Singleplayer,Action,Adventure,Atmospheric,Story Rich,Exploration,Cute,Action-Adventure,Puzzle,Emotional,2D,Indie,Difficult,Fantasy,Open World,Souls-like"
Planet Coaster,Frontier Developments;Aspyr (Mac),Frontier Developments;Aspyr (Mac),"Planet Coaster® - the future of coaster park simulation games has arrived! Surprise, delight and thrill incredible crowds as you build your coaster park empire - let your imagination run wild, and share your success with the world.",$44.99,"Nov 17, 2016","Simulation,Building,Management,Sandbox,Family Friendly,Relaxing,Strategy,Singleplayer,Realistic,Economy,Funny,Great Soundtrack,Atmospheric,Colorful,Third Person,City Builder,Casual,God Game,3D,Multiplayer"
Still Wakes the Deep,Secret Mode,The Chinese Room,1975. Disaster strikes the Beira D oil rig off the coast of Scotland. Navigate the collapsing rig to save your crew from an otherworldly horror on the edge of all logic and reality.,$34.99,"Jun 18, 2024","Psychological Horror,Horror,Lovecraftian,Story Rich,Atmospheric,Action,Walking Simulator,First-Person,Singleplayer,Sci-fi,Gore,Narrative,Dark Fantasy,Dark,Stealth,Thriller,Survival Horror,Survival"
Spyro™ Reignited Trilogy,Activision,Toys for Bob;Iron Galaxy Studios,"Same sick burns, same smoldering attitude, now all scaled up in stunning HD, Spyro is back in the Spyro™ Reignited Trilogy! Rekindle the fire with remastered versions of the original three games, Spyro™ the Dragon, Spyro™ 2: Ripto's Rage! and Spyro™: Year of the Dragon.",$39.99,"Sep 3, 2019","3D Platformer,Adventure,Dragons,Remake,Family Friendly,Action,Classic,Singleplayer,Platformer,Colorful,Cute,Collectathon,Fantasy,Cult Classic,Cartoony,Great Soundtrack,Casual,Third Person,Funny,Atmospheric"
Farm Together 2,Milkstone Studios,Milkstone Studios,"Grow your own farm all by yourself, or cooperate with your friends in the long awaited sequel to the cozy, relaxing farming experience!",$19.99,"May 7, 2024","Early Access,Farming Sim,Agriculture,Sandbox,Family Friendly,Life Sim,Cute,Character Customization,Time Management,Fishing,Cooking,Casual,Relaxing,Co-op,Economy,Base Building,Idler,Cartoony,3D,Simulation"
Legacy of Kain™ Soul Reaver 1&2 Remastered,Aspyr,Aspyr;Crystal Dynamics,Experience the epic conflict of Kain and Raziel in original form or with remastered graphics.,$29.99,"Dec 10, 2024","Action,Adventure,Dark Fantasy,Third Person,Action-Adventure,Fantasy,Platformer,Atmospheric,Puzzle,3D Platformer,Drama,Hack and Slash,Puzzle Platformer,3D,Demons,Magic,Old School,Dark,Retro,Combat"
Ravenfield,SteelRaven7,SteelRaven7,"Fight upon the Ravenfield together with your Blue allies! Take down those pesky Reds using helicopters, tanks, guns, and active ragdoll physics!",$17.99,"May 18, 2017","FPS,War,Singleplayer,Shooter,Military,Action,Sandbox,First-Person,Early Access,Funny,Team-Based,Tactical,Moddable,Strategy,Simulation,Indie,Physics,Realistic,Atmospheric,Adventure"
Crysis 2 Remastered,Crytek,Crytek;Saber Interactive,"Relive the legendary single-player campaign from the classic first-person shooter, Crysis 2, optimized for today's hardware in Crysis 2 Remastered.",$29.99,"Nov 17, 2022","Action,FPS,Shooter,Sandbox,First-Person,Aliens,Hero Shooter,Shoot 'Em Up,Dark Humor,Dystopian,Futuristic,Post-apocalyptic,Sci-fi,Tactical,Singleplayer,Combat,PvE,Violent,Multiplayer,Story Rich"
Jotunnslayer: Hordes of Hel,Grindstone,Games Farm;ARTillery,"Hordes of Hel is a gripping roguelike horde-survivor game set in the dark realms of Norse Mythology. Fight waves of enemies to earn divine blessings of ancient Viking Deities, explore hostile worlds and face powerful bosses. Become a god-like warrior in this ultimate showdown.",$9.99,"Jan 21, 2025","Indie,Action Roguelike,Bullet Hell,Roguelite,Action,Roguelike,Action RPG,Casual,Singleplayer,Isometric,Mythology,RPG,Dark,Controller,Dark Fantasy,Early Access,Class-Based,Atmospheric,PvE,Third Person"
World of Outlaws: Dirt Racing 24 Gold Edition,iRacing.com Motorsport Simulations,Monster Games;Amber,"iRacing presents the Official Game of The World of Outlaws, featuring the World of Outlaws Sprint Car, Late Models and Super DIRTcar Big Block Modifieds, as well as 8 additional series including the all-new Micro Sprints, and many others.",$49.99,"Feb 5, 2025","Racing,Sports,Driving,PvP,Physics,Automobile Sim,Arcade,Simulation,3D,Split Screen,Controller,Realistic,Offroad,America,Multiplayer,Singleplayer,Local Multiplayer"
Dungeon Clawler,Stray Fawn Publishing;Playworks,Stray Fawn Studio,"Dungeon Clawler is a Roguelike Claw Machine Deckbuilder. Build your deck, grab weapons and items from the claw machine to battle enemies, discover powerful perks that create game-changing synergies and unleash crazy combos as you fight your way through the dungeon!",$9.99,"Nov 21, 2024","Early Access,Arcade,Replay Value,Roguelike,Roguelike Deckbuilder,Gambling,Turn-Based Combat,Procedural Generation,Turn-Based Strategy,Deckbuilding,Physics,Cute,Roguelite,Dungeon Crawler,Soundtrack,Retro,Strategy,Difficult,2D,Stylized"
We Were Here Forever,Total Mayhem Games,Total Mayhem Games,"You both awaken imprisoned inside the sinister Castle Rock - were you betrayed, or simply not that clever? Find out in the greatest co-op puzzle adventure in the We Were Here Series! Do you and your partner have what it takes to face the dark forces of this realm or will you be trapped… forever?",$17.99,"May 10, 2022","Escape Room,Online Co-Op,Puzzle,Co-op,Multiplayer,Co-op Campaign,3D,Fantasy,Mystery,Exploration,Adventure,Detective,Psychological Horror,Atmospheric,Story Rich,Action-Adventure,Dark,Casual,First-Person,Linear"
Dungeon Defenders II,Chromatic Games,Chromatic Games,"Dungeon Defenders II is a cooperative Action Tower Defense game packed with roleplaying elements like loot, leveling, and pets.",$0.00,"Jun 20, 2017","Multiplayer,Online Co-Op,Co-op Campaign,Tower Defense,Singleplayer,Strategy RPG,Survival,Action RPG,Building,Third Person,Character Customization,Tactical,Loot,Family Friendly,Cartoony,Fantasy,Team-Based,3D,Colorful,Party-Based RPG"
1000xRESIST,Fellow Traveller,sunset visitor 斜陽過客,"1000xRESIST is a thrilling sci-fi adventure. The year is unknown, and a disease spread by an alien invasion keeps you underground. You are Watcher. You dutifully fulfil your purpose in serving the ALLMOTHER, until the day you discover a shocking secret that changes everything.",$19.99,"May 9, 2024","Female Protagonist,Thriller,Futuristic,3D,Post-apocalyptic,Story Rich,Sci-fi,Psychological Horror,Walking Simulator,Visual Novel,Anime,Narrative,Cinematic,Multiple Endings,Atmospheric,Mystery,Exploration,Surreal,Experimental,Aliens"
Cruelty Squad,Consumer Softproducts,Consumer Softproducts,An immersive power fantasy simulator with tactical stealth elements set in a sewage infused garbage world,$19.99,"Jun 16, 2021","Capitalism,Surreal,Immersive Sim,FPS,Psychological Horror,Psychedelic,Shooter,Cyberpunk,First-Person,Dark Humor,Lore-Rich,Stealth,Dystopian,Stylized,Action,Assassin,Retro,Tactical,Post-apocalyptic,Simulation"
Supermarket Together,DeadDevsTellNoLies,DeadDevsTellNoLies,"The multiplayer supermarket has arrived to your neighbourhood for free! Stock your shop space, unlock perks and franchises, hire employees or chase those pesky shoplifters. The more players, the more action!",Free,"Aug 9, 2024","Simulation,Online Co-Op,Multiplayer,$0.00,Management,Economy,Singleplayer,Immersive Sim,First-Person,Trading,Life Sim,Building,Capitalism,Sandbox,3D,Resource Management,Realistic,Casual,Inventory Management,Indie"
Cinnabunny,Reky Studios,Reky Studios,"Cinnabunny is a cozy life simulator game where you play as a bunny who runs a bakery. Unlock new recipes, go birdwatching, collect mushrooms, and charm your community. Save up enough carrots to help your family move.",$24.99,"Feb 19, 2025","Casual,Cute,RPG,Simulation,Life Sim,Family Friendly,3D,Cartoon,Farming Sim,Time Management,Collectathon,Split Screen,Stylized,Third Person,Management,Relaxing,Cooking,Nature,Top-Down,Local Co-Op"
Airborne Empire,Stray Fawn Publishing;The Wandering Band LLC,The Wandering Band LLC,"Build your sky city while exploring a vast landscape in this Open World RPG City Builder. Combining the methodical construction and management of a city builder; the unique lift, balance, and propulsion needed for a flying city; and the compelling characters, dangers, and adventures of an RPG!",$29.99,"Jan 13, 2025","Early Access,Strategy RPG,Colony Sim,Sandbox,City Builder,Open World,Resource Management,Physics,RTS,Exploration,Atmospheric,Base Building,Flight,Economy,Steampunk,Survival,Strategy,Adventure,Real-Time with Pause,Management"
The Henry Stickmin Collection,Innersloth,PuffballsUnited,A choose-your-own-path where failing is more fun than succeeding.,$14.99,"Aug 7, 2020","Funny,Multiple Endings,Choose Your Own Adventure,Memes,Comedy,Singleplayer,Choices Matter,Classic,Point & Click,2D,Epic,Hand-drawn,Adventure,Indie,Family Friendly,Action,Interactive Fiction,Casual,Parody,Old School"
IfSunSets,Smilegate,POLYMORPH,"「IfSunSets」 is a survival RPG adventure game. During the day, secure necessary supplies across the island, and survive the night against strong and terrifying monsters that track you down. You can utilize resources you've secured to build a base to fend off threatening monsters.",$19.99,"Nov 4, 2024","Early Access,Nature,Combat,Adventure,Zombies,Co-op,Base Building,Open World,Multiplayer,Online Co-Op,Character Customization,RPG,Pirates,Survival Horror,Life Sim,Crafting,Open World Survival Craft,Action-Adventure,Sandbox,Survival"
Dungeons & Dragons Online®,Daybreak Game Company LLC,Standing Stone Games,Enter a world of danger and adventure with Dungeons & Dragons Online® based on the beloved RPG that started it all.,Play for Free!,"Jun 25, 2012","$0.00,RPG,MMORPG,Dungeons & Dragons,Massively Multiplayer,Fantasy,Adventure,Multiplayer,Action,Dragons,Open World,Magic,Character Customization,Co-op,Dungeon Crawler,Third Person,Dwarf,Puzzle,Online Co-Op,Sandbox"
Ghosts of Tabor,Beyond Frames,Combat Waffle Studios,"Ghosts of Tabor is VRs only FPS PVP and PVE survival game where you will use your wits, skills and resources to survive. Inspired by games such as Escape from Tarkov and DayZ, featuring different scenarios from scavenging to looting and crafting. Will you survive long enough to make it out alive?",$24.99,"Mar 20, 2023","Early Access,Action,VR,Looter Shooter,Shooter,Exploration,Immersive Sim,Atmospheric,Dystopian,Military,Combat,Character Customization,Inventory Management,Crafting,Physics,PvE,PvP,Multiplayer,Trading,Tutorial"
Steep™,Ubisoft,Ubisoft Annecy;Ubisoft Montpellier;Ubisoft Kiev,"Ride a massive open world across the Alps, where the powder is always fresh and the run never ends. Defy and master the mountain alone or with friends on skis, wingsuits, snowboards and paragliders. Record and share your best stunts.",$29.99,"Dec 2, 2016","Sports,Open World,Multiplayer,Action,Simulation,Atmospheric,Exploration,Great Soundtrack,Snowboarding,Adventure,Racing,First-Person,Third Person,Co-op,Skiing,Realistic,Singleplayer,Sandbox,Casual,Snow"
Into the Radius 2,CM Games,CM Games,"Into the Radius 2 is an immersive VR survival shooter, set in a realm of surreal landscapes and deadly entities known as Pechorsk Anomaly. Arm yourself with realistic weapons and venture deeper into the mysteries that lie within, either solo or with a friend by your side.",$39.99,"Jul 24, 2024","Early Access,VR,FPS,Action,Online Co-Op,Realistic,Survival,First-Person,Shooter,Post-apocalyptic,Atmospheric,Exploration,Psychological Horror,Story Rich,Immersive,Gun Customization,Survival Horror,Surreal,Immersive Sim,PvE"
KLETKA,Callback;ln404,Callback;ln404,"KLETKA is a co-op (up to 6 players) horror game about going down in an elevator that is trying to eat you. Feed the elevator, explore deadly floors and descend deeper.",$9.99,"Dec 13, 2024","Early Access,Horror,Co-op,First-Person,Online Co-Op,Action,PvE,Adventure,Roguelike,Action-Adventure,Dungeon Crawler,Action Roguelike,3D,Roguelite,Pixel Graphics,Atmospheric,Dark,Alternate History,Mystery,Old School"
Little Nightmares,BANDAI NAMCO Entertainment,Tarsier Studios,"Take on the role of Six, a lone child lost in a massive metal vessel known as the Maw, surrounded by dangerous, distorted versions of adults. You’ll need to do your best to escape in one piece or your fate will be worse than you ever dared dream.",$19.99,"Apr 27, 2017","Horror,Atmospheric,Adventure,Singleplayer,Puzzle Platformer,Dark,Puzzle,Indie,Story Rich,Stealth,Platformer,Psychological Horror,Great Soundtrack,2.5D,Third Person,Survival Horror,Female Protagonist,Short,Action,Strategy"
Smalland: Survive the Wilds,Merge Games;Maximum Entertainment,Merge Games,"Experience a big adventure on a tiny scale! Enjoy multiplayer survival in a vast, hazardous world. Preparation is key when you're this small & at the bottom of the food chain. Craft weapons & armour, tame & ride creatures, build encampments & explore a strange new land.",$34.99,"Feb 15, 2024","Survival,Open World Survival Craft,Multiplayer,Base Building,Online Co-Op,Open World,Building,Crafting,Co-op,Exploration,Singleplayer,Sandbox,Adventure,RPG,Character Customization,Action-Adventure,Third Person,First-Person,City Builder,Action"
Undawn,Level Infinite,Lightspeed Studios,"Explore, adapt, and survive in Undawn, a free-to-play open-world survival RPG for mobile and PC developed by LightSpeed Studios and published by Level Infinite. Embark on an adventure with other survivors four years after a worldwide disaster where hordes of infected roam a shattered world.",$0.00,"Jun 13, 2023","Open World,Massively Multiplayer,Survival,RPG,MMORPG,Post-apocalyptic,Multiplayer,Adventure,Crafting,Shooter,Sandbox,Co-op,Third-Person Shooter,PvP,PvE,Zombies,$0.00,Character Customization,Third Person,Building"
Russian Fishing 4,FishSoft LLC,FishSoft LLC,"Russian Fishing 4 is a fishing simulator with RPG elements. There is no story line and the whole process is based on the concept of an open, free to roam and free to play game.",$0.00,"Nov 11, 2021","Fishing,$0.00,Multiplayer,Simulation,Nature,Realistic,Relaxing,Crafting,First-Person,Immersive Sim,Sports,Atmospheric,Singleplayer,Open World,Survival,Massively Multiplayer,Casual,Adventure,RPG,Family Friendly"
